platform_adi,kitle_fonlamasi_turu,kategori,fon_sekli,proje_adi,proje_sahibi,proje_sahibi_cinsiyet,kac_proje_destekledi,kac_projeye_abone,kac_projenin_sahibi,kac_proje_takiminda,konum,bolge,yil,proje_baslama_tarihi,proje_bitis_tarihi,gun_sayisi,tanitim_videosu,video_uzunlugu,gorsel_sayisi,sss,guncellemeler,yorumlar,destekci_sayisi,odul_sayisi,ekip_kisi_sayisi,web_sitesi,sosyal_medya,sm_sayisi,sm_takipci,etiket_sayisi,icerik_kelime_sayisi,proje_aciklamasi,hedef_miktari,basari_durumu
fongogo,ödül,diğer,ya hep ya hiç,YardımaTik,Atik  Topluluğu,kadın,0,0,2,0,istanbul,marmara,2020,10.06.2020,9.08.2020,60,var,26,0,0,0,0,0,5,1,yok,var,3,32,0,142,Çevremizde yardıma ihtiyacı olan vatandaşlarımıza hem kendi imkanlarımızla hem de sizin yardımlarınızla destek olmak amacımızdır.,2500,başarısız
fonbulucu,ödül,eğitim,ya hep ya hiç,Bartme - Hayalime Ortak Ol İşbirliği Projesi,Öykü Sorgun,kadın,0,0,1,0,genel,genel,2019,,,60,yok,0,2,0,0,0,0,4,2,yok,yok,0,0,0,161,"Kişiler arası bir takas platformu olan Bartme, ürünlerin anlık değerlendirmesini sağlayan algoritması ve havuza takas modeli ile akıcı bir takas ortamı sunmayı amaçlayan bir girişimdir.",1500,başarısız
fongogo,ödül,dans-performans,hepsi kalsın,KABİLE Sirk Sanatları Şapkasını Açıyor,KABİLE Sirk ve Sahne Sanatları,belirsiz,0,0,1,0,istanbul,marmara,2020,28.12.2020,2.02.2021,36,var,36,19,3,1,0,92,9,1,yok,var,2,3214,0,400,Türkiye'nin ilk çağdaş sirk sanatları topluluğu olarak karşılığı olmadan destek istemek yerine üretmeyi seçtik ve “Kabile Kutluyor!” ile bir nevi şapka açtık.,80000,başarısız
fongogo,ödül,teknoloji,ya hep ya hiç,Pozitif Basınç Tozsuz Oda,SERHAT KILIÇ,erkek,0,0,1,0,istanbul,marmara,2018,30.10.2018,29.11.2018,30,var,49,5,0,0,0,0,5,1,yok,var,1,1829,5,364,"Geri dönüştürülen kırık telefon ekranlarının, üretim aşamalarının sonuncusunda Çin ile rekabette daha profesyonel bir basınçlı tozsuz oda ihtiyacımız vardır.",14500,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,Mekan314,Okan Kuzer,erkek,0,0,1,0,istanbul,marmara,2014,13.03.2014,12.04.2014,30,var,110,16,0,0,0,17,5,4,var,yok,0,0,0,541,"Alternatif sanat dallarını barındıracak yeni bir çalışma mekanı ihtiyacından yola çıktık. Mekan314, sirk sanatlarının farklı disiplinlerine ev sahibi olacak.",1000,başarılı
fonbulucu,ödül,teknoloji,ya hep ya hiç,SmartPark,Cihat Emre Aytekin,erkek,0,0,1,0,karabük,karadeniz,2018,,,60,yok,0,4,0,0,0,1,4,1,yok,yok,0,0,0,139,Engellilere ait park alanları artık gerçek sahiplerinin! Akıllı park alanlarıyla bundan böyle engelleri birlikte kaldıracağız.,3500,başarısız
fongogo,ödül,moda,hepsi kalsın,Depo Pergamon Restorasyon Atölyesi,Jose Manuel Garcia Torres,erkek,0,0,1,0,izmir,ege,2019,24.06.2019,11.10.2019,109,var,104,27,0,3,0,76,7,3,var,var,1,1609,0,533,"Atıl durumdaki Bergama Eski Tütün Deposu; öğrenci, akademisyen, zanaatkar, yerel halk ve destekçiler tarafından Kültür Merkezi olarak restore edilmektedir.""""",28000,başarılı
fongogo,ödül,kültür-sanat,ya hep ya hiç,Şehir Günlükleri,Gökay Küpeli,erkek,0,0,1,0,bursa,marmara,2019,17.09.2019,16.11.2019,60,var,14,2,0,0,0,0,6,1,yok,yok,0,0,0,431,"Bursa'nın tarihine ve kültürüne yönelik, başta kısa metrajları olarak sonra uzun metrajlı özgün belgeseller çekmeyi düşünüyoruz.",5000,başarısız
crowdfon,ödül,teknoloji,ya hep ya hiç,Mobil Sağlık Projesi,Burak Tanrikulu,erkek,0,0,1,0,belirsiz,belirsiz,2020,,,60,yok,0,1,0,0,0,3,1,1,yok,yok,0,0,0,163,Gunden güne hastalıklar ile savaştığımiz şu hayatta mobil sağlık yada mobil hastane diyebileceğimiz bir platfo,100000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,Robotik Takımı Amerika'da,Kalsedon FRC,belirsiz,0,0,1,0,eskişehir,iç anadolu,2018,30.01.2018,1.03.2018,30,var,148,7,0,0,0,18,7,5,yok,var,2,170,2,423,"Destek ol, bir mühendis yetiştir; mühendis yetiştir, dünyayı değiştir!",35000,başarısız
fonbulucu,ödül,teknoloji,ya hep ya hiç,Mobilyago,Cengiz Sarıkaya,erkek,0,0,1,0,genel,genel,2020,,,60,var,60,1,0,0,1,0,6,1,var,var,1,840,0,265,Mobilya Keşif Aracı!,50000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,Zihinsel Engelli Özel Eğitim Öğrencilerine Özel Destek,Buğra Şelenbaş,erkek,1,0,1,0,kocaeli,marmara,2020,03.06.2020,3.08.2020,61,var,128,7,0,0,0,46,6,10,var,var,2,690,0,479,Zihinsel engelli lise gurubu gençlerimizin okuldaki fiziksel ihtiyaçlarını ve eğitim imkanlarını iyileştirmek için bağış desteğine ihtiyacımız bulunmaktadır.,10000,başarılı
fongogo,ödül,teknoloji,ya hep ya hiç,KODLAMA KÜPÜ (ÇOCUK YAŞTA KODLAMA ALGORİTMA ÖĞRENME),Necati Muslu,erkek,0,0,1,0,istanbul,marmara,2020,22.09.2020,21.11.2020,60,var,96,1,1,0,0,0,5,1,yok,yok,0,0,0,961,KODLAMA KÜPÜ OKUL ÖNCESİ İLKOKUL VE ORTAOKUL DÜZEYİNDEKİ ÖĞRENCİLERİN TEMEL KODLAMA BECERİSİ KAZANMALARINI VE DERS İÇERİĞİNE GÖRE BELİRTİLEN TEMADAKİ KONUYU ÖĞR,70000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,Sorumeydanı,Vedat Dinç,erkek,0,0,1,0,elazığ,doğu,2020,29.01.2020,28.02.2020,30,yok,0,2,0,1,0,0,9,1,var,yok,0,0,6,360,Öğrencilerin ders çalışıp sohbet edebilecekleri bir platform,20000,başarısız
fongogo,ödül,kültür-sanat,ya hep ya hiç,Datça Tiyatro Festivali,Beste Karaduman,kadın,0,0,2,0,muğla,ege,2018,02.07.2018,22.07.2018,20,var,16,5,0,0,0,27,9,7,var,var,2,4922,4,528,"8 üniversiteli genç, “hikaye anlatıcılarına alan açmak” gayesi, Knidos’tan devraldığı tiyatro geleneğini Akdeniz ve Ege’nin birleşiminde yaşatan Datça...",12000,başarılı
fongogo,ödül,film-video-fotoğraf,ya hep ya hiç,PEYGAMBERDEVESİ - Kısa Film,Aykut Çekim,erkek,0,0,2,0,uşak,ege,2019,27.03.2019,26.04.2019,30,var,188,0,0,0,0,3,7,2,yok,var,1,77,3,130,"Köylülerin saldırısından dolayı,  yol kenarında cenaze yıkamak zorunda kalan imamın başından geçen olaylar.",8300,başarısız
